ID,Title,Sources,Last Modified
e9c8adaa-64de-4fb7-8bed-a914ca145d02,"[CHATGPT] ðŸ“˜ SEMILLA DE ESPECIFICACIÃ“N v0",70,2026-02-08
20f6e210-b2cb-4800-b587-e5beb9e2b0c1,Diseno de Sistemas Multi-Agentes,97,2026-02-08
3ec36f41-61d5-4c31-873a-452f547b3e9b,Orion,71,2026-02-08
12238005-d991-4600-8c33-6e73436f9797,"[GEMINI] FULL Chat Vaso de 8 Onzas",24,2026-02-08
c4b5821f-cb09-4f63-bd89-666b10491706,Apollo,95,2026-02-01
61a78e05-8f16-42bb-9da0-32683542fd39,Thalia,91,2026-02-01
31bb6591-7ce0-4388-9409-42af1f300a73,Argus,54,2026-02-01
ca1a5f14-ef50-491a-9e09-a9b008cf66a2,CALLIOPE,77,2026-02-01
585acc8c-f01c-444c-9f4d-a0f83f52fe6c,"Pilares I-IV: Audiovisual Production",5,2026-02-01
b19f64e3-f653-4bfb-b922-84d4f8539784,MASTER AUTOMATION AGENT,59,2026-01-29
76610014-a95c-4ce4-8998-d0694e77353f,BIM - Building Information Modeling,62,2026-01-26
90250009-b684-4065-9836-39746e50259b,IA Y AUTOMATIZACION - MASTER PARA EMPRESAS,54,2026-01-26
61a0521e-d4ca-4fcb-8692-23c88e7a6f23,The Ultimate Guide to YouTube Automation,93,2026-01-26
79b1220a-8c54-4f01-9a70-8e1008cf66a2,IA EN INFO-PRODUCTOS Y CURSOS,60,2025-01-25
84a1a511-92b0-4ca0-9883-7c4d5e6f7a8b,Agentes IA y AutomatizaciÃ³n con n8n,30,2025-01-25
f5e6d7c8-b1a2-4c3d-9e0f-7a1b2c3d4e5f,AXON Constitutional Core,4,2024-01-24
a1b2c3d4-e5f6-7a8b-9c0d-1e2f3a4b5c6d,AI Video Strategy,12,2024-01-24
b2c3d4e5-f6a7-8b9c-0d1e-2f3a4b5c6d7e,Prompt Engineering: Mastery,45,2024-01-24
c3d4e5f6-a7b8-9c0d-1e2f-3a4b5c6d7e8f,Sistemas de Ventas con IA,33,2024-01-24
d4e5f6a7-b8c9-0d1e-2f3a-4b5c6d7e8f90,Curriculum VitAE - Career Strategy,8,2024-01-24
e5f6a7b8-c9d0-1e2f-3a4b-5c6d7e8f9011,Finanzas Personales y Wealth Management,25,2024-01-24
f6a7b8c9-d0e1-2f3a-4b5c-6d7e8f901122,Mentalidad de Inversor,18,2024-01-24
a7b8c9d0-e1f2-3a4b-5c6d-7e8f90112233,Biohacking y Salud Ã“ptima,15,2024-01-24
b8c9d0e1-f2a3-4b5c-6d7e-8f9011223344,Productividad Extrema,22,2024-01-24
c9d0e1f2-a3b4-5c6d-7e8f-901122334455,FilosofÃ­a y Modelos Mentales,40,2024-01-24
d0e1f2a3-b4c5-6d7e-8f90-112233445566,Marketing Digital y Viralidad,50,2024-01-24
e1f2a3b4-c5d6-7e8f-9011-223344556677,Emprendimiento y Lean Startup,38,2024-01-24
